Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
1.414433e-01  8.104104  1.409608e-01  2.980589e-02  -15.256978
1.430149e-01  8.194149  1.425164e-01  3.046738e-02  -15.161649
1.445865e-01  8.284194  1.440717e-01  3.113597e-02  -15.067376
1.461580e-01  8.374239  1.456265e-01  3.181166e-02  -14.974136
1.477296e-01  8.464284  1.471811e-01  3.249445e-02  -14.881908
1.493012e-01  8.554329  1.487352e-01  3.318432e-02  -14.790670
1.508728e-01  8.644374  1.502890e-01  3.388128e-02  -14.700402
1.524444e-01  8.734419  1.518424e-01  3.458531e-02  -14.611083
1.540159e-01  8.824464  1.533955e-01  3.529641e-02  -14.522695
1.555875e-01  8.914509  1.549482e-01  3.601456e-02  -14.435218
1.571591e-01  9.004554  1.565005e-01  3.673978e-02  -14.348635
1.587307e-01  9.094599  1.580524e-01  3.747203e-02  -14.262928
1.603023e-01  9.184644  1.596039e-01  3.821133e-02  -14.178079
1.618739e-01  9.274689  1.611550e-01  3.895765e-02  -14.094072
1.634454e-01  9.364734  1.627057e-01  3.971100e-02  -14.010892
1.650170e-01  9.454779  1.642560e-01  4.047137e-02  -13.928521
1.665886e-01  9.544824  1.658059e-01  4.123874e-02  -13.846946
1.681602e-01  9.634869  1.673554e-01  4.201312e-02  -13.766151
1.697318e-01  9.724914  1.689045e-01  4.279449e-02  -13.686121
1.713033e-01  9.814959  1.704532e-01  4.358285e-02  -13.606844
1.728749e-01  9.905003  1.720015e-01  4.437818e-02  -13.528305
1.744465e-01  9.995048  1.735493e-01  4.518049e-02  -13.450491
1.760181e-01  10.085093  1.750967e-01  4.598975e-02  -13.373389
1.775897e-01  10.175138  1.766436e-01  4.680598e-02  -13.296987
1.791612e-01  10.265183  1.781902e-01  4.762914e-02  -13.221272
1.807328e-01  10.355228  1.797363e-01  4.845925e-02  -13.146233
1.823044e-01  10.445273  1.812819e-01  4.929629e-02  -13.071858
1.838760e-01  10.535318  1.828271e-01  5.014025e-02  -12.998135
1.854476e-01  10.625363  1.843719e-01  5.099112e-02  -12.925055
1.870192e-01  10.715408  1.859161e-01  5.184890e-02  -12.852605
1.885907e-01  10.805453  1.874600e-01  5.271357e-02  -12.780776
1.901623e-01  10.895498  1.890034e-01  5.358513e-02  -12.709557
1.917339e-01  10.985543  1.905463e-01  5.446357e-02  -12.638939
1.933055e-01  11.075588  1.920887e-01  5.534889e-02  -12.568911
1.948771e-01  11.165633  1.936307e-01  5.624106e-02  -12.499465
1.964486e-01  11.255678  1.951721e-01  5.714009e-02  -12.430591
1.980202e-01  11.345723  1.967131e-01  5.804596e-02  -12.362280
1.995918e-01  11.435768  1.982536e-01  5.895867e-02  -12.294523
2.011634e-01  11.525813  1.997937e-01  5.987820e-02  -12.227313
2.027350e-01  11.615858  2.013332e-01  6.080455e-02  -12.160639
2.043065e-01  11.705903  2.028722e-01  6.173771e-02  -12.094495
2.058781e-01  11.795948  2.044108e-01  6.267767e-02  -12.028872
2.074497e-01  11.885993  2.059488e-01  6.362442e-02  -11.963762
2.090213e-01  11.976038  2.074863e-01  6.457795e-02  -11.899158
2.105929e-01  12.066083  2.090233e-01  6.553824e-02  -11.835052
2.121645e-01  12.156128  2.105598e-01  6.650531e-02  -11.771437
2.137360e-01  12.246173  2.120958e-01  6.747912e-02  -11.708306
2.153076e-01  12.336218  2.136312e-01  6.845967e-02  -11.645652
2.168792e-01  12.426262  2.151662e-01  6.944696e-02  -11.583468
2.184508e-01  12.516307  2.167006e-01  7.044097e-02  -11.521747
2.200224e-01  12.606352  2.182344e-01  7.144169e-02  -11.460483
2.215939e-01  12.696397  2.197677e-01  7.244912e-02  -11.399669
